"","family","estimation","knots","loglik"
"1","Tweedie","IID",100,NA
"2","Tweedie","IID",50,NA
"3","Tweedie","IID",30,NA
"4","delta gamma","IID",100,NA
"5","delta gamma","IID",50,NA
"6","delta gamma","IID",30,NA
"7","delta lognormal","IID",100,NA
"8","delta lognormal","IID",50,NA
"9","delta lognormal","IID",30,NA
"10","Tweedie","RW",100,NA
"11","Tweedie","RW",50,NA
"12","Tweedie","RW",30,-658.137453309229
"13","delta gamma","RW",100,NA
"14","delta gamma","RW",50,NA
"15","delta gamma","RW",30,NA
"16","delta lognormal","RW",100,NA
"17","delta lognormal","RW",50,NA
"18","delta lognormal","RW",30,NA
"19","Tweedie","AR1",100,NA
"20","Tweedie","AR1",50,NA
"21","Tweedie","AR1",30,NA
"22","delta gamma","AR1",100,NA
"23","delta gamma","AR1",50,NA
"24","delta gamma","AR1",30,NA
"25","delta lognormal","AR1",100,NA
"26","delta lognormal","AR1",50,NA
"27","delta lognormal","AR1",30,NA
