"","Year","est","lwr","upr","log_est","se"
"1",1976,4918631.13375882,3596212.49550511,6727336.67997099,15.408540824911,0.15977286438227
"2",1979,1178986.24207323,729224.276934075,1906146.85079062,13.9801655103023,0.245121288095275
"3",1982,3942238.30635555,2718955.95172418,5715886.22251929,15.1872592180273,0.189544653702442
"4",1985,4278518.7518968,2985686.68939375,6131159.9691157,15.269117421651,0.183563116178982
"5",1988,3110527.06891697,2192365.6407843,4413213.95777938,14.9503027453321,0.178478292471123
"6",1991,3690461.93850806,2434818.4026461,5593644.80931118,15.1212621947691,0.212187297471012
"7",1996,2247631.25780789,1370959.21390915,3684899.02531108,14.6253874453169,0.252232306444894
"8",1999,4361458.16884594,2839712.68398455,6698676.75905217,15.2883170018077,0.218934412970784
"9",2002,2464773.5807622,1585282.71196492,3832192.67993744,14.717610507594,0.225176173907729
"10",2006,4300162.36162363,3032836.00400802,6097064.36875826,15.2741633384681,0.178143387617259
"11",2008,4179211.83210202,2927260.54454874,5966606.41298467,15.2456332298085,0.181664386034382
"12",2010,2058192.04525914,1068286.80006818,3965371.93466928,14.5373385074749,0.334583548884471
"13",2011,3753883.92611644,2617706.99856551,5383201.61059945,15.1383015755963,0.183928009541685
"14",2014,9579729.16973832,6373137.10160781,14399691.9417258,16.0751598791652,0.207941316999312
"15",2017,2574531.8559682,1788543.4274679,3705928.6207989,14.7611782720442,0.185853493241817
"16",2018,1552533.54047285,956611.564047436,2519685.6120941,14.2553986967257,0.247068824577
"17",2019,5782121.92752227,4296678.00055494,7781112.28731026,15.5702812887664,0.151496949450086
"18",2020,2519513.62812346,1645879.87911543,3856872.54753457,14.7395764361469,0.217244173566675
"19",2021,2466948.660339,1682443.26188678,3617260.58204387,14.7184925847311,0.195276530753529
"20",2022,5578640.15025773,3322018.45794381,9368167.67277398,15.534455603987,0.26448061426712
"21",2023,3880456.57756399,2843740.12501219,5295119.31062797,15.1714633793062,0.158591021368689
"22",2024,3740141.52057061,1906648.19791359,7336780.11979546,15.1346340083996,0.343769898570707
