"","family","estimation","knots","quantile","dispersion","outliers","zero_inf"
"1","Tweedie","IID",120,0,0,0.55,0
"2","Tweedie","IID",90,0,0,0.1,0.56
"3","Tweedie","IID",50,NA,NA,NA,NA
"4","delta gamma","IID",120,NA,NA,NA,NA
"5","delta gamma","IID",90,NA,NA,NA,NA
"6","delta gamma","IID",50,NA,NA,NA,NA
"7","delta lognormal","IID",120,NA,NA,NA,NA
"8","delta lognormal","IID",90,NA,NA,NA,NA
"9","delta lognormal","IID",50,NA,NA,NA,NA
"10","Tweedie","RW",120,0,0,0.49,0.04
"11","Tweedie","RW",90,0,0,0.49,0.58
"12","Tweedie","RW",50,0,0,0.64,0.68
"13","delta gamma","RW",50,NA,NA,NA,NA
"14","delta lognormal","RW",50,NA,NA,NA,NA
"15","Tweedie","AR1",120,0,0,0.83,0.06
"16","Tweedie","AR1",90,0,0,0.39,0.6
"17","Tweedie","AR1",50,0,0,0.39,0.86
"18","delta gamma","AR1",50,NA,NA,NA,NA
"19","delta lognormal","AR1",50,NA,NA,NA,NA
